id;pokedex;fecha_captura;lugar;huevo;peso;estatura
1;1;31-01-19;Independencia;0;20.9;0.5
2;1;30-01-19;Estacion Central;0;28.3;0.8
3;2;01-02-19;Independencia;0;52.7;1.3
4;3;01-03-19;Independencia;0;105.8;2.0
5;3;29-01-19;Macul;0;100.5;2.1
6;4;01-02-19;Independencia;0;22.9;0.6
7;4;27-01-19;Independencia;0;31.7;0.7
8;5;03-02-19;La Reina;0;60.1;1.2
9;5;03-02-19;Pedro Aguirre Cerda;0;80.9;1.5
10;6;27-01-19;Independencia;0;120.9;1.8
11;6;08-02-19;Independencia;0;130.1;2.0
12;7;08-02-19;Independencia;0;30.8;0.5
13;7;26-01-19;Independencia;1;35.7;0.6
14;8;16-02-19;Cerrillos;0;40.9;1.1
15;9;16-02-19;Independencia;0;151.0;1.6
16;9;26-01-19;Independencia;0;180.9;1.8
17;10;13-02-19;Cerro Navia;0;10.1;0.5
18;10;26-01-19;Independencia;0;7.1;0.2
19;11;13-02-19;Santiago;1;25.9;0.7
20;11;01-03-19;Santiago;0;25.1;0.5
21;12;04-03-19;Recoleta;0;27.8;1.1
22;13;26-01-19;Santiago;0;5.1;0.3
23;13;04-03-19;La Granja;1;8.2;0.5
24;16;04-03-19;Santiago;0;13.1;0.3
25;16;01-01-19;Santiago;1;13.9;0.4
26;16;08-03-19;Estacion Central;0;13.2;0.3
27;19;24-01-19;Santiago;0;10.8;0.4
28;19;08-03-19;Estacion Central;0;9.3;0.3
29;19;08-03-19;Santiago;0;11.6;0.5
30;19;24-01-19;Independencia;1;15.7;0.8
31;19;14-03-19;Estacion Central;0;6.6;0.3
32;20;14-03-19;Independencia;0;45.8;0.7
33;21;16-03-19;Recoleta;0;4.0;0.5
34;21;17-03-19;Providencia;0;10.9;0.9
35;22;18-03-19;Independencia;0;61.7;1.2
36;23;21-02-19;Independencia;1;34.9;2.0
37;26;21-02-19;Las Condes;0;41.9;0.8
38;27;21-02-19;Independencia;0;22.9;0.6
39;28;19-01-19;Estacion Central;0;53.5;1.0
40;29;21-02-19;Estacion Central;0;7.1;0.5
41;30;20-03-19;Providencia;0;25.9;0.9
42;31;19-01-19;Independencia;0;99.8;1.8
43;33;20-03-19;Santiago;1;23.0;0.9
44;33;21-03-19;Independencia;0;22.1;0.8
45;34;23-03-19;Las Condes;0;112.9;1.7
46;34;21-06-19;Las Condes;0;150.1;1.9
47;34;11-01-19;Independencia;0;88.1;1.5
48;34;15-06-19;Santiago;0;70.9;1.4
49;34;18-06-19;Independencia;0;130.1;1.8
50;35;31-05-19;Santiago;0;8.0;0.6
51;35;12-01-19;Estacion Central;0;9.5;0.6
52;36;30-04-19;Estacion Central;0;80.1;1.7
53;36;18-06-19;El Bosque;0;45.8;1.3
54;37;29-03-19;El Bosque;0;11.9;0.7
55;38;11-01-19;San Bernardo;0;35.8;1.8
56;40;28-02-19;San Bernardo;0;15.4;1.2
57;41;16-06-19;Maipu;0;8.9;0.9
58;41;16-06-19;Maipu;0;5.1;0.4
59;41;28-01-19;Las Condes;0;8.6;0.7
60;41;27-07-19;Las Condes;0;4.9;0.5
